ID;ProprieteSol.SerieSol;SerieSol;cansis;m.3a;m.3b;m.3c
340;Yamaska;Yamaska;YAS;0,974391908;0,006205082;0,019403011
341;;;;;;
342;;;;;;
343;Fleury;Fleury;FLY;0,677422161;0,023461079;0,299116761
344;;;;;;
345;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
346;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
347;Fleury;Fleury;FLY;0,677422161;0,023461079;0,299116761
348;Fleury;Fleury;FLY;0,677422161;0,023461079;0,299116761
349;Providence;Providence;PVD;0,772014353;0,08546004;0,142525607
350;;;;;;
351;;;;;;
352;Raimbault;Raimbault;RMB;0,43326424;0,104730713;0,462005047
353;Massueville;Massueville;MSU;0,078319842;0,053518056;0,868162103
354;Achigan;Achigan;AHG;0,002921473;0,003216238;0,99386229
355;Franc sableux milton;Milton;MTN;0,881458589;0,008743932;0,109797479
356;;;;;;
357;Saint-Urbain;Saint-Urbain;SUB;0,781889403;0,073980736;0,144129861
358;Saint-Amable/Saint-Samuel;Saint-Amable/Saint-Samuel;SBL;0,030307837;0,145843365;0,823848798
359;Providence;Providence;PVD;0,772014353;0,08546004;0,142525607
360;Sainte-Hyacinthe;Saint-Hyacinthe;SYT;0,960797436;0,009640166;0,029562398
361;Joseph;Joseph;JSH;0,089323944;0,023811367;0,886864689
362;Saint-Urbain;Saint-Urbain;SUB;0,781889403;0,073980736;0,144129861
363;Saint-Urbain;Saint-Urbain;SUB;0,781889403;0,073980736;0,144129861
364;Saint-Hyacinthe;Saint-Hyacinthe;SYT;0,960797436;0,009640166;0,029562398
365;Massueville;Massueville;MSU;0,078319842;0,053518056;0,868162103
366;Raimbault;Raimbault;RMB;0,43326424;0,104730713;0,462005047
367;Sainte-Sophie;Sainte-Sophie;SSO;0,003693727;0,984638962;0,011667311
368;Bedford;Bedford;BDF;0,667311083;0,045619094;0,287069823
369;Providence;Providence;PVD;0,772014353;0,08546004;0,142525607
370;Saint-Marcel;Saint-Marcel;MAR;0,870999588;0,040777025;0,088223387
371;Du Contour;Du Contour;CTR;0,918542018;0,023165541;0,058292441
372;Saint-Urbain;Saint-Urbain;SUB;0,781889403;0,073980736;0,144129861
373;Richelieu, Saint-SbaSaintien;Richelieu;RHU;0,996196066;0,000665148;0,003138786
374;Sainte-Rosalie;Sainte-Rosalie;SSL;0,879876479;0,037138812;0,082984709
375;Sainte-Rose;Sainte-Rose;SRE;0,480025347;0,059751805;0,460222848
376;Kierkoski;Kierkoski;KRY;0,882803555;0,034643168;0,082553277
377;Saint-SbaSaintien;Saint-Sbastien;SSE;0,152459853;0,69819147;0,149348677
378;Providence;Providence;PVD;0,772014353;0,08546004;0,142525607
379;Raimbault;Raimbault;RMB;0,43326424;0,104730713;0,462005047
380;Du Jour;Du Jour;DJR;0,761231978;0,087279355;0,151488667
